r2,mae,mse,mape,window_size,model_name
0.9883195488285559,126.43298529565885,144577.1889362139,3.1878559667404636,seven,tcn
0.9902623446052592,139.71054137626155,120529.83426213975,0.1425597748215442,seven,cnn
0.9908210597339489,128.2758024027459,113614.22273854064,0.5952043946325625,seven,bilstm
0.9826089868585122,166.72888478658572,215260.84530844417,0.5577165375461846,seven,ann
0.9752450343075415,152.55844229012357,306409.6839664768,2.8387502659223425,seven,transformer
0.996830259884459,84.21354076414384,33033.71564467184,0.05365184594059236,thirty,tcn
0.996570661608023,95.90237272593066,35739.141115859675,0.042026942361803016,thirty,cnn
0.9950840291012343,99.35332505937673,51232.207962760935,0.04044890206417034,thirty,bilstm
0.9847716228467385,184.01301849854605,158703.82500578786,0.06726536192713439,thirty,ann
0.993316678912204,137.15642968056727,69650.79796095693,0.08073366101513403,thirty,transformer
0.9959114218345041,88.91121030837908,42850.836086946256,0.03437455272551897,ninety,tcn
0.9942328733809874,114.29828160341997,60443.06539850626,0.04161711020336794,ninety,cnn
0.9938794259609379,112.68646819755537,64147.413670409594,0.03826399418210418,ninety,bilstm
0.9919056914877727,151.5871544628795,84833.375627187,0.10543550776552714,ninety,ann
0.9930165654528029,137.0113943829026,73190.7271900146,0.06289705962456635,ninety,transformer
